Raum;01/E01
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
.;P;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;D;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;D;.
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
Text;1;3;1;12;Klausur SWE – Raum 01/E01
Raum;66/E33
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
.;P;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;T;T;T;T;.;T;T;T;T;.;T;T;T;T;.;T;T;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;D;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;D;.
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
Text;1;3;1;12;Klausur SWE – Raum 66/E33
Raum;94/E01
W;W;W;W;W;W;W;W;W
.;P;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;D;.;.;.;.;.;D;.
W;W;W;W;W;W;W;W;W
Text;1;3;1;5;Klausur SWE – Raum 94/E01
Raum;94/E03
W;W;W;W;W;W;W;W;W
.;P;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;D;.;.;.;.;.;D;.
W;W;W;W;W;W;W;W;W
Text;1;3;1;5;Klausur SWE – Raum 94/E03
Raum;94/E06
W;W;W;W;W;W;W;W;W
.;P;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;T;T;T;.;T;T;T;.
.;.;.;.;.;.;.;.;.
.;D;.;.;.;.;.;D;.
W;W;W;W;W;W;W;W;W
Text;1;3;1;5;Klausur SWE – Raum 94/E06
