Raum;01/E01
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
.;.;.;.;.;.;.;.;.;.;.;.;.;.;P;P;P;P;P;P;P;P;P;P;P;P;P;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
P;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;P
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
P;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;P
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
P;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;P
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;P;P;T;P;P;T;P;P;T;.;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;P;P;T;.;.;T;P;P;T;P;P;T;P;P;T;P;.
